"Version","Class","Domain","Data Collection Scenario/Implementation Option","Variable Order","CDASHIG Variable","CDASHIG Variable Label","DRAFT CDASHIG Definition","Question Text","Prompt","Type","CDASHIG Core","Case Report Form Completion Instructions","SDTMIG Target","Mapping Instructions","CDISC CT Codelist Code(s), Subset Codes(s)","Codelist Submission Value","Implementation Notes"
"CDASHIG v2.3","Interventions","AG",,"1","STUDYID","Study Identifier","A unique identifier for a study.","What is the study identifier?","[Protocol/Study]","Char","HR",,"STUDYID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Although this field is not typically captured on a CRF, it should be displayed clearly on the CRF and/or in the EDC system. This field can be included into the database or populated during SDTM-based dataset creation before submission."
"CDASHIG v2.3","Interventions","AG",,"2","SITEID","Study Site Identifier","A unique identifier for a site within a study.","What is the site identifier?","Site (Identifier)","Char","HR",,"SITEID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Paper: This is typically preprinted in the header of each CRF page for single site studies. For studies with multiple sites, this field may be left blank so that the number can be recorded by the site, or it may be preprinted on CRFs that are shipped to each site. EDC: This should be prepopulated."
"CDASHIG v2.3","Interventions","AG",,"3","SUBJID","Subject Identifier for the Study","A unique subject identifier within a site and a study.","What [is/was] the (study) [subject/participant] identifier?","[Subject/Participant] (Identifier)","Char","HR","Record the identifier for the subject.","SUBJID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Paper: This is typically recorded in the header of each CRF page. EDC: The subject identifiers may be system generated. This CDASH variable is typically collected in all CDASH domains. However, this CDASH variable is populated only in the SDTM DM domain. For more information, refer to the SDTMIG."
"CDASHIG v2.3","Interventions","AG",,"4","AGCAT","Category for Agent","A grouping of topic-variable values based on user-defined characteristics.","What is the category for the [procedure/assessment agent]?","Procedure Agent Category; NULL","Char","O","Record the procedure agent category, if not preprinted on the CRF.","AGCAT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Sponsor-defined controlled terminology. This would most commonly be either a heading or a preprinted category value on the CRF, not a question to which the site would provide an answer. If a question is asked, the response would typically be a sponsor-defined codelist. If the form is laid out as a grid, then words such as ""Category"" can be included as the column header."
"CDASHIG v2.3","Interventions","AG",,"5","AGSCAT","Subcategory for Agent","A sub-division of the AGCAT values based on user-defined characteristics.","What is the subcategory for the [procedure/assessment agent]?","Procedure Agent Subcategory; NULL","Char","O","Record the procedure agent subcategory, if not preprinted on the CRF.","AGSCAT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Sponsor-defined controlled terminology. This would most commonly be preprinted on the CRF or screen and prepopulated in the data management system. This is not typically a question to which the site would provide an answer."
"CDASHIG v2.3","Interventions","AG",,"6","AGYN","Any Procedure Agent Taken","An indication of whether any procedure/assessment agent(s) were administered.","[Were/Was] there any [procedure/assessment agent(s)] taken/administered?","Any procedure agents","Char","O","Indicate if the subject was administered any procedure agents. If Yes, include the appropriate details where indicated on the CRF.","","Does not map to an SDTMIG variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED.","C66742","NY","The intent/purpose of collecting this field is to help with data cleaning and monitoring. It provides verification that all other fields on the CRF were deliberately left blank."
"CDASHIG v2.3","Interventions","AG",,"7","AGSPID","AG Sponsor-Defined Identifier","A sponsor-defined identifier. In CDASH, this is typically used for preprinted or auto-generated numbers on the CRF, or any other type of identifier that does not already have a defined CDASH identifier field.","[Sponsor defined question]","[Sponsor defined]","Char","O","If collected on the CRF, sponsor may insert instructions to ensure each record has a unique identifier.","AGSPID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column. May be used to create RELREC to link this record with a record in another domain.","","","Because SPID is a sponsor-defined identifier, conformance to Question Text or Item Prompt is not applicable. Typically used as an identifier in a data query to communicate clearly to the site the specific record in question or to reconcile procedure agent records with AEs and/or MH. May be used to record preprinted number (e.g., line number, record number) on the CRF. This field may be populated by the sponsor's data collection system."
"CDASHIG v2.3","Interventions","AG",,"8","AGTRT","Reported Agent Name","Verbatim name of procedure/assessment agent administered.","What was the [procedure/assessment agent] [name/term]?","[Procedure/Assessment Agent]","Char","HR","Record only 1 procedure agent per line. Provide the full trade or proprietary name of the procedure agent; otherwise the generic name may be recorded.","AGTRT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","In most cases, the verbatim drug names or treatment will be coded to a standard dictionary (e.g., WHODrug) after the data have been collected on the CRF. For the collection of verbatim procedure agents, the recommendation is to ask sites to provide the full trade or proprietary name since it is more exact than the generic. The full trade name provides the base generic and the appropriate salt for that particular drug. In addition, for coding purposes it helps with ATC classification system code selection. For example, Tylenol with codeine #1 has a different ATC code than Tylenol with codeine #3."
"CDASHIG v2.3","Interventions","AG",,"9","AGPRESP","AG Prespecified","An indication that a specific procedure/assessment agent or group of agents is prespecified on a CRF.",,,"Char","O",,"AGPRESP","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C66742","NY","For prespecified interventions, a hidden field on a CRF defaulted to ""Y"", or added during the SDTM dataset creation. If a study collects both prespecified and free-text interventions, the value of AGPRESP should be ""Y"" for all prespecified interventions and null for interventions reported as free text."
"CDASHIG v2.3","Interventions","AG",,"10","AGOCCUR","AG Occurrence","An indication whether the given procedure/assessment agent or group of agents was administered when information about the occurrence of a specific procedure/assessment agent is solicited.","[Has/Was] the subject (been) administered the [procedure/assessment agent]?","[AGTRT]","Char","O","Indicate if the procedure agent was administered, by checking Yes or No.","AGOCCUR","Maps directly to the SDTMIG variable listed in the SDTMIG Target column. If the response was not asked or answered, populate the SDTMIG variable AGSTAT with ""NOT DONE"".","C66742","NY","AGOCCUR is used to report the occurrence of a prespecified procedure agent. AGOCCUR is not used for spontaneously free-text reported procedure agent(s). The site should be able to indicate that the response was not asked or answered."
"CDASHIG v2.3","Interventions","AG",,"11","AGDOSE","AG Dose per Administration","The dose of procedure/assessment agent (e.g., --TRT ) given at one time represented as a numeric value.","What was the individual dose per administration of the [procedure/assessment agent]?","[Dose/Amount] (per administration)","Num","O","Record the dose of the [procedure agent] taken per administration (e.g., 200).","AGDOSE","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Used when the dose/amount administered has only numeric entries. If non-numeric entries are possible, use the CDASH field AGDSTXT."
"CDASHIG v2.3","Interventions","AG",,"12","AGDSTXT","Procedure Agents Dose Description","The dose of procedure/assessment agent administered per instance.","What was the individual dose of the [procedure/assessment agent]?","Dose","Char","O","Record the dose of [procedure agent] taken per administration (e.g., 200).","AGDOSE; AGDOSTXT","This does not map directly to an SDTMIG variable. Numeric values map to AGDOSE in SDTM. Non-numeric values (e.g., 200-400) map to AGDOSTXT in SDTM.","","","Defining this data collection field as a dose text field allows for flexibility in capturing dose entries as numbers, text or ranges. The data collected in this dose text-format field should be separated or mapped to either SDTMIG AGDOSE (if numeric) or AGDOSTXT (if text)."
"CDASHIG v2.3","Interventions","AG",,"13","AGDOSU","AG Dose Units","The unit associated with the procedure/assessment agent.","What is the unit (for the dose of the [procedure/assessment agent])?","(Dose) Unit","Char","R/C","Record the dose unit of the [procedure agent] administered (e.g., mg).","AGDOSU","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C71620; C78417","UNIT; CMDOSU","When sponsors collect data for amount of dose administered (i.e., Dose, Total Daily Dose), the unit must be collected as well (if applicable)."
"CDASHIG v2.3","Interventions","AG",,"14","AGDOSFRM","AG Dose Form","The pharmaceutical dosage form in which the AGTRT is physically presented.","What was the dose form of the [procedure/assessment agent]?","Dose Form","Char","O","Record the pharmaceutical dosage form (e.g., TABLET CAPSULE SYRUP) for the [procedure agent] [administered].","AGDOSFRM","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C66726; C78418","FRM; CMDOSFRM","Some drugs have multiple forms and this field may be needed to code the drug to an ATC level. However, in general, this level of detail should not be necessary except for procedure agents of interest."
"CDASHIG v2.3","Interventions","AG",,"15","AGDOSFRQ","AG Dosing Frequency per Interval","The number of doses administered during a specific interval.","What was the frequency of the [procedure/assessment agent]?","Frequency","Char","O","Record how often the [procedure agent] was administered (e.g., ONCE).","AGDOSFRQ","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C71113; C78419","FREQ; CMDOSFRQ","The frequency of the procedure agent. When collected, the recommendation is to collect dosing information in separate fields (e.g., AGDOSE, AGDOSEU, AGDOSFRQ) for specific and consistent data collection and to enable programmatically utilizing these data."
"CDASHIG v2.3","Interventions","AG",,"16","AGROUTE","AG Route of Administration","The route of administration of the procedure/assessment agent.","What was the route of administration of the [procedure/assessment agent]?","Route","Char","R/C","Provide the route of administration for the [procedure agent].","AGROUTE","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C66729; C78420","ROUTE; CMROUTE","This additional information may be important to collect on the CRF when the sponsor wants to capture a procedure agent's route of administration, for purposes such as coding, and the procedure agent may have more than 1 route. Some companies may use route in coding procedure agents to be able to choose a precise preferred name and ATC code."
"CDASHIG v2.3","Interventions","AG",,"17","AGSTDAT","Procedure Agent Start Date","The start date when the procedure/assessment agent was first administered, represented in an unambiguous date format (e.g., DD-MON-YYYY).","What was the procedure/assessment agent] start date?","Start Date","Char","R/C","Record the date the procedure agent was first administered using this format (DD-MON-YYYY). Procedure agent(s) administered during the study are expected to have a complete start date.","AGSTDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH START DATE and TIME components and populate the SDTMIG variable AGSTDTC in ISO 8601 format.","","","The assumption is that sponsors should either have a start date or will indicate that the procedure agent was started before, during or after the study period. The preferred method is to collect a complete start date. Partial dates (e.g., providing year only) for procedure agent started a considerable amount of time prior to the start of study are acceptable."
"CDASHIG v2.3","Interventions","AG",,"18","AGSTTIM","Procedure Agent Start Time","The time the procedure/assessment agent was started, represented in an ambiguous time format (e.g., h:mm:ss).","What was the [procedure/assessment agent] start time?","Start Time","Char","R/C","Record the time (as complete as possible) that the [procedure agent] was started.","AGSTDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH START DATE and TIME components and populate the SDTMIG variable AGSTDTC in ISO 8601 format.","","","Recommend collecting the time a procedure agent was started only when a protocol or data collection scenarios supports it. Typically, a start time is not collected unless the subject is under the direct care of the site at the time a procedure agent administered or the subject records the start time in a diary. See Section 3.7, Mapping Relative Times from Collection to Submissions, and the SDTMIG for more information."
"CDASHIG v2.3","Interventions","AG",,"19","AGPRIOR","Prior Procedure Agents","Indication the procedure/assessment agent was administered prior to [AGSTTPT] or prior to the date in DM.RFSTDTC.","Was the [procedure/assessment agent] administered prior to AGSTTPT? Was the procedure/assessment agent given prior to study start?","Prior to [AGSTTPT]; prior to study","Char","O","Check if the [procedure agent] was started before the study.","AGSTRF; AGSTRTPT","This does not map directly to an SDTMIG variable. May be used to populate a value into an SDTMIG relative timing variable such as AGSTRF or AGSTRTPT. When populating AGSTRF or AGSTRTPT, if the value of the CDASH field AGPRIOR is ""Y"", a value from the CDISC CT (STENRF) may be used. When AGPRIOR refers to the Study Reference Period (defined in DM.RFSTDTC to DM.RFENDTC), the SDTMIG variable AGSTRF should be populated. When AGPRIOR is compared to another time point, the SDTMIG variables AGSTRTPT and AGSTTPT should be used. Note: AGSTRTPT must be in reference to the time-point anchor described in AGSTTPT.","C66742","NY","Sponsors may collect this information rather than start dates. See Section 3.7, Mapping Relative Times from Collection to Submissions, and the SDTMIG for more information."
"CDASHIG v2.3","Interventions","AG",,"20","AGONGO","Ongoing Procedure Agents","Indication the procedure/assessment agent is ongoing when no end date is provided.","Was the [procedure/assessment agent] ongoing (as of the [study-specific time point or period])?","Ongoing (as of [the study-specific time point or period])","Char","R/C","Record the [procedure agent] as ongoing if the subject has not stopped taking the procedure agent at [the time point defined by the study]. If the procedure agent is ongoing, the end date should be left blank.","AGENRF; AGENRTPT","This does not map directly to an SDTMIG variable. May be used to populate a value into an SDTMIG relative timing variable such as AGENRF or AGENRTPT. When populating AGENRF, if the value of AGONGO is ""Y"", the values of ""DURING"", ""AFTER"" or ""DURING/AFTER"" may be used. When populating AGENRTPT, if the value of AGONGO is ""Y"", the value of ""ONGOING"" may be used. When AGONGO refers to the Study Reference Period (defined in DM.RFSTDTC to DM.RFENDTC), the SDTMIG variable AGENRF should be populated. When AGONGO is used in conjunction with another time point, the SDTMIG variables AGENRTPT and AGENTPT should be used. Note: AGENRTPT must be in reference to the time-point anchor described in AGENTPT.","C66742","NY","This box should be checked to indicate that the procedure agent has not stopped at the time of data collection. It is expected that every recorded procedure agent should have either an end date or be checked as ongoing, but not both. However, in cases where ongoing procedure agents are not permitted, it may not be necessary to include an Ongoing field in the CRF. See Section 3.7, Mapping Relative Times from Collection to Submissions, for more information about collecting relative date/time; see the SDTMIG for information about mapping relative times."
"CDASHIG v2.3","Interventions","AG",,"21","AGENDAT","Procedure Agents End Date","The date the procedure/assessment agent was stopped/ended, represented in an unambiguous date format (e.g. DD-MON-YYYY).","What was the [procedure/assessment agent's] end date?","End Date","Char","R/C","Record the date the procedure agent was topped using this format (DD-MM-YYYY). If the subject has not stopped [administering/being administered] the procedure agent leave this field blank.","AGENDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH END DATE and TIME components and populate the SDTMIG variable CMENDTC in ISO 8601 format.","","","The assumption is that sponsors should either have an end date or will indicate that the procedure agent was ongoing at the time of collection or at the end of the study. However, in cases where the end date can be determined from dates collected elsewhere in the CRF it is not necessary to include an end date in the CRF. For example, if all procedure agents are administered only once during a trial, the end date will be the same as the start date."
"CDASHIG v2.3","Interventions","AG",,"22","AGENTIM","Procedure Agents End Time","The time the concomitant medication/treatment/therapy was started, represented in an unambiguous time format (e.g., hh:mm:ss).","What was the [procedure/assessment agent's] end time?","End Time","Char","R/C","Record the time (as complete as possible) that the procedure agent was stopped.","AGENDTC","This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH END DATE and TIME components and populate the SDTMIG variable AGENDTC in ISO 8601 format.","","","Recommend collecting the time a procedure agent was ended only when a protocol or data collection scenarios require it or the subject records the end time in a diary. Typically, an end time is not collected unless the subject is under the direct care of the site at the time a procedure agent is stopped."
"CDASHIG v2.3","Interventions","AG",,"23","AGDECOD","Standardized Agent Name","The dictionary or sponsor-defined standardized text description of the topic variable (AGTRT) or the modified topic variable (AGMODIFY), if applicable.",,,"Char","O",,"AGDECOD","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","This is typically not a data collection field that will appear on the CRF. If the sponsor chooses to code the procedure, the sponsor will populate this through the coding process. If PRPRESP is used, and the information about a specific standardized procedure name is being solicited, the data from AGTRT may map directly to the SDTMIG AGDECOD variable."
"CDASHIG v2.3","Interventions","AG",,"24","AGCLAS","AG Agent Class","The class for the agent, often obtained from a coding dictionary.",,,"Char","O",,"AGCLAS","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process. This would generally be the class used for analysis."
"CDASHIG v2.3","Interventions","AG",,"25","AGCLASCD","AG Agent Class Code","The assigned dictionary code for the class of agent.",,,"Num","O",,"AGCLASCD","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","This field does not typically appear on the CRF. Sponsors will populate this through the coding process. This would generally be the class code used for analysis."
"CDASHIG v2.3","Interventions","CM",,"1","STUDYID","Study Identifier","A unique identifier for a study.","What is the study identifier?","[Protocol/Study]","Char","HR",,"STUDYID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Although this field is not typically captured on a CRF, it should be displayed clearly on the CRF and/or the EDC system. This field can be included into the database or populated during SDTM-based dataset creation before submission."
"CDASHIG v2.3","Interventions","CM",,"2","SITEID","Study Site Identifier","A unique identifier for a site within a study.","What is the site identifier?","Site (Identifier)","Char","HR",,"SITEID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Paper: For single-site studies, this is typically preprinted in the header of each CRF page. For studies with multiple sites, this field may be left blank so that the number can be recorded by the site, or it may be preprinted on CRFs that are shipped to each site. \n EDC: This should be prepopulated."
"CDASHIG v2.3","Interventions","CM",,"3","SUBJID","Subject Identifier for the Study","A unique subject identifier within a site and a study.","What [is/was] the (study) [subject/participant] identifier?","[Subject/Participant] (Identifier)","Char","HR","Record the identifier for the subject.","SUBJID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Paper: This is typically recorded in the header of each CRF page. \n EDC: The subject identifiers may be system-generated. \n This CDASH variable is typically collected in all CDASH domains. However, this CDASH variable is populated only in the SDTMIG DM domain. For more information, refer to the SDTMIG."
"CDASHIG v2.3","Interventions","CM",,"4","CMCAT","Category for Medication","A grouping of topic-variable values based on user-defined characteristics.","What is the category for the (concomitant) [medication/treatment/therapy]?","(Concomitant) [Medication/Treatment/Therapy Category]; NULL","Char","O","Record the (concomitant) [medication/treatment/therapy] category, if not preprinted on the CRF.","CMCAT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Sponsor-defined controlled terminology. This would most commonly be either a heading or a preprinted category value on the CRF, not a question to which the site would provide an answer. If a question is asked, the response would typically be a sponsor-defined codelist. If the form is laid out as a grid, then words such as ""Category"" can be included in the column heading."
"CDASHIG v2.3","Interventions","CM",,"5","CMSCAT","Subcategory for Medication","A sub-division of the CMCAT values based on user-defined characteristics.","What is the subcategory for the (concomitant) [medication/treatment/therapy]?","(Concomitant) [Medication/Treatment/Therapy subcategory]; NULL","Char","O","Record (concomitant) [medication/treatment/therapy] subcategory, if not preprinted on the CRF.","CMSCAT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","Sponsor-defined controlled terminology. This would most commonly be preprinted on the CRF or screen and prepopulated in the data management system. This is not typically a question to which the site would provide an answer."
"CDASHIG v2.3","Interventions","CM",,"6","CMYN","Any Concomitant Medications Taken","An indication of whether any (concomitant) medications/treatments/therapies were taken/given.","Were/Was any (concomitant) [medication(s)/treatment(s)/therapy(ies)] taken?","Any (Concomitant) [Medication(s)/Treatment(s)/Therapy(ies)]","Char","O","Indicate if the subject took any (concomitant) [medications/treatments]. If Yes, include the appropriate details where indicated on the CRF.","","Does not map to an SDTMIG variable. The SDTM annotated CRF indicates that this field is NOT SUBMITTED.","C66742","NY","The intent/purpose of collecting this field is to help with data cleaning and monitoring. It provides verification that all other fields on the CRF were deliberately left blank."
"CDASHIG v2.3","Interventions","CM",,"7","CMSPID","CM Sponsor-Defined Identifier","A sponsor-defined identifier. In CDASH, this is typically used for preprinted or auto-generated numbers on the CRF, or any other type of identifier that does not already have a defined CDASH identifier field.","[Sponsor-defined question]","[Sponsor defined]","Char","O","If collected on the CRF, sponsor may insert instructions to ensure each record has a unique identifier.","CMSPID","Maps directly to the SDTMIG variable listed in the SDTMIG Target column. May be used to create RELREC to link this record with a record in another domain.","","","Because SPID is a sponsor-defined identifier, conformance to Question Text or Item Prompt is not applicable. Typically used as an identifier in a data query to communicate clearly to the site the specific record in question or to reconcile concomitant medication/treatment records with AEs and/or MH. May be used to record preprinted number (e.g. line number, record number) on the CRF. This field may be populated by the sponsor's data collection system."
"CDASHIG v2.3","Interventions","CM",,"8","CMTRT","Reported Name of Drug, Med, or Therapy","Verbatim medication name or treatments (include only treatments with data collection characteristics similar to medications).","What was the (concomitant) [medication/treatment/therapy] (name/term)?","(Concomitant) [Medication/Treatment/Therapy]","Char","HR","Record only 1 [medication/treatment/therapy] per line. Provide the full trade or proprietary name of the [medication/treatment/therapy]; otherwise the generic name may be recorded.","CMTRT","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","","","In most cases, the verbatim drug names or treatment will be coded to a standard dictionary (e.g., WHODrug) after data have been collected on the CRF. For the collection of verbatim drug name or treatments, the recommendation is for sites to provide the full trade or proprietary name, which is more exact than the generic. The full trade name provides the base generic and the appropriate salt for that particular drug. In addition, for coding purposes, it helps with ATC selection (e.g., Tylenol with codeine #1 has a different ATC code than Tylenol with codeine #3). This field can be used for either prior or concomitant medication/treatments."
"CDASHIG v2.3","Interventions","CM",,"9","CMPRESP","CM Prespecified","An indication that a specific intervention or a group of interventions is prespecified on a CRF.",,,"Char","O",,"CMPRESP","Maps directly to the SDTMIG variable listed in the SDTMIG Target column.","C66742","NY","For prespecified interventions, this is a hidden field on a CRF defaulted to ""Y"", or added during the SDTM dataset creation. If a study collects both prespecified and free-text interventions, the value of CMPRESP should be ""Y"" for all prespecified interventions and null for interventions reported as free text."
