source,target,variable,label,type,length,logic
raw_ae,AE,STUDYID,Study Identifier,char,20,Direct Map
raw_ae,AE,DOMAIN,Domain Abbreviation,char,2,Hardcode 'AE'
raw_ae,AE,USUBJID,Unique Subject Identifier,char,40,Direct Map
raw_ae,AE,AESEQ,Sequence Number,num,8,Direct Map
raw_ae,AE,AETERM,Reported Term for the Adverse Event,char,200,Direct Map
raw_ae,AE,AEDECOD,Dictionary-Derived Term,char,200,Derive uppercase dictionary term from AETERM
raw_ae,AE,AESTDTC,Start Date/Time of Adverse Event,char,20,Direct Map
raw_ae,AE,AEENDTC,End Date/Time of Adverse Event,char,20,Direct Map
raw_ae,AE,AEDUR,Duration of Adverse Event,num,8,Derive inclusive days between AESTDTC and AEENDTC
raw_ae,AE,AESEV,Severity/Intensity,char,20,Direct Map
raw_ae,AE,AETOXGR,Standard Toxicity Grade,num,8,Derive severity grade from AESEV
raw_ae,AE,AESER,Serious Event,char,1,Direct Map
raw_ae,AE,AESDTH,Results in Death,char,1,"Set AESDTH to Y when AESER = 'Y' and AESEV = 'SEVERE', else N"
